Log created: 2024-08-06 13:08:36
Type: backup
[2024-08-06 13:08:38][notice]Start backing up.
[2024-08-06 13:08:38][notice]server info fcgi:Off max execution time: 300 wp version:6.4.5 php version:8.1.29 db version:8.0.37 php ini:safe_mode: memory_limit:256M memory_get_usage:63.03 MB memory_get_peak_usage:64.64 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2024-08-06 13:08:38][notice]LiteSpeed Server.
[2024-08-06 13:08:38][notice]Add LiteSpeed Rule
[2024-08-06 13:08:38][notice]Prepare to backup backup_db files.
[2024-08-06 13:08:38][notice]Start exporting database.
[2024-08-06 13:08:38][notice]Preparing to dump table wpzo_bm_guests
[2024-08-06 13:08:38][notice]Preparing to dump table wpzo_bm_mentions
[2024-08-06 13:08:38][notice]Preparing to dump table wpzo_bm_threads
[2024-08-06 13:08:38][notice]Preparing to dump table wpzo_ff_scheduled_actions
[2024-08-06 13:08:38][notice]Preparing to dump table wpzo_fluentform_entry_details
[2024-08-06 13:08:38][notice]Preparing to dump table wpzo_fluentform_form_analytics
[2024-08-06 13:08:38][notice]Preparing to dump table wpzo_fluentform_form_meta
[2024-08-06 13:08:38][notice]Preparing to dump table wpzo_fluentform_forms
[2024-08-06 13:08:38][notice]Preparing to dump table wpzo_fluentform_logs
[2024-08-06 13:08:38][notice]Preparing to dump table wpzo_fluentform_submission_meta
[2024-08-06 13:08:38][notice]Preparing to dump table wpzo_fluentform_submissions
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_login_redirects
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_mailpoet_automation_triggers
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_mailpoet_automations
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_mailpoet_forms
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_mailpoet_statistics_bounces
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_mpp_logs
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_nextend2_smartslider3_generators
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_rt_rtm_api
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_rt_rtm_media_interaction
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_rt_rtm_media_meta
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_rtreact_activity_user_reaction
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_rtreact_comment
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_rtreact_post
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_rtreact_reaction
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wc_category_lookup
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wc_reserved_stock
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_woocommerce_shipping_zone_methods
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_woocommerce_shipping_zones
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wpda_csv_uploads
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wpda_logging
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wpda_media
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wpda_menus
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wpda_project_table
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wpda_table_design
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wpda_table_settings
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wpfm_backup
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wpmailsmtp_tasks_meta
[2024-08-06 13:08:39][notice]Preparing to dump table wpzo_wppcp_group_users
[2024-08-06 13:08:40][notice]Preparing to dump table wpzo_wppcp_private_page
[2024-08-06 13:08:40][notice]Preparing to dump table wpzo_youzify_activity_polls_votes
[2024-08-06 13:08:40][notice]Preparing to dump table wpzo_youzify_bookmarks
[2024-08-06 13:08:40][notice]Preparing to dump table wpzo_youzify_hashtags
